trial,machine_type,function,cpu,ram,time
0,ubuntu_pc,bubble_sort,99.44,19.624,5.758
0,ubuntu_pc,selection_sort,99.04,19.669,1.57
0,ubuntu_pc,insertion_sort,98.82,19.673,1.646
0,ubuntu_pc,merge_sort,37.0,19.976,0.021
0,ubuntu_pc,quick_sort,37.0,19.698,0.012
0,ubuntu_pc,heap_sort,49.5,19.681,0.033
1,ubuntu_pc,bubble_sort,99.52,19.644,5.905
1,ubuntu_pc,selection_sort,98.47,19.689,1.576
1,ubuntu_pc,insertion_sort,99.02,19.694,1.677
1,ubuntu_pc,merge_sort,0.0,19.997,0.021
1,ubuntu_pc,quick_sort,37.0,19.39,0.013
1,ubuntu_pc,heap_sort,49.47,19.702,0.032
2,ubuntu_pc,bubble_sort,99.7,19.436,5.989
2,ubuntu_pc,selection_sort,98.82,19.481,1.593
2,ubuntu_pc,insertion_sort,98.85,19.485,1.647
2,ubuntu_pc,merge_sort,37.0,19.845,0.021
2,ubuntu_pc,quick_sort,37.0,19.505,0.013
2,ubuntu_pc,heap_sort,49.67,19.489,0.033
3,ubuntu_pc,bubble_sort,99.61,19.628,5.884
3,ubuntu_pc,selection_sort,98.93,19.673,1.572
3,ubuntu_pc,insertion_sort,98.71,19.677,1.656
3,ubuntu_pc,merge_sort,37.0,19.98,0.021
3,ubuntu_pc,quick_sort,36.9,19.37,0.013
3,ubuntu_pc,heap_sort,49.57,19.685,0.032
4,ubuntu_pc,bubble_sort,99.72,19.612,5.927
4,ubuntu_pc,selection_sort,98.75,19.657,1.576
4,ubuntu_pc,insertion_sort,98.94,19.661,1.651
4,ubuntu_pc,merge_sort,37.0,19.96,0.021
4,ubuntu_pc,quick_sort,36.95,19.681,0.013
4,ubuntu_pc,heap_sort,49.27,19.669,0.033
5,ubuntu_pc,bubble_sort,99.74,19.505,5.972
5,ubuntu_pc,selection_sort,98.63,19.55,1.565
5,ubuntu_pc,insertion_sort,98.66,19.554,1.664
5,ubuntu_pc,merge_sort,36.8,19.866,0.021
5,ubuntu_pc,quick_sort,37.3,19.579,0.013
5,ubuntu_pc,heap_sort,49.37,19.562,0.033
6,ubuntu_pc,bubble_sort,99.56,19.657,5.9
6,ubuntu_pc,selection_sort,99.03,19.702,1.573
6,ubuntu_pc,insertion_sort,98.45,19.706,1.638
6,ubuntu_pc,merge_sort,37.0,19.96,0.021
6,ubuntu_pc,quick_sort,36.9,19.73,0.012
6,ubuntu_pc,heap_sort,49.57,19.714,0.033
7,ubuntu_pc,bubble_sort,99.61,19.583,6.084
7,ubuntu_pc,selection_sort,98.65,19.628,1.643
7,ubuntu_pc,insertion_sort,99.07,19.632,1.8
7,ubuntu_pc,merge_sort,36.65,19.935,0.021
7,ubuntu_pc,quick_sort,37.05,19.649,0.013
7,ubuntu_pc,heap_sort,49.33,19.636,0.033
8,ubuntu_pc,bubble_sort,99.65,19.603,5.928
